,FileName,frustrated,angry,sad,disgust,fear,neutral,surprise,happy,EmoAct,EmoVal,SpkrID,Gender,Split_Set,dominant_emotion
7,Ses01F_impro04_F011.wav,0.242188,0.242188,0.00625,0.242188,0.00625,0.00625,0.242188,0.0125,0.58333325,0.33333325,1,Female,Train,ambiguous
9,Ses01F_script02_2_M034.wav,0.00625,0.478125,0.00625,0.00625,0.00625,0.478125,0.00625,0.0125,0.125,0.25,1,Male,Train,ambiguous
14,Ses01M_script03_2_M021.wav,0.320833,0.320833,0.00625,0.00625,0.00625,0.320833,0.00625,0.0125,0.5,0.5,1,Male,Train,ambiguous
22,Ses01F_script03_2_F009.wav,0.478125,0.478125,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.375,1,Female,Train,ambiguous
27,Ses01M_script01_3_M008.wav,0.00625,0.00625,0.478125,0.00625,0.00625,0.478125,0.00625,0.0125,0.5,0.5,1,Male,Train,ambiguous
40,Ses01F_script01_3_F024.wav,0.00625,0.00625,0.320833,0.00625,0.320833,0.320833,0.00625,0.0125,0.33333325,0.25,1,Female,Train,ambiguous
43,Ses01F_impro04_F004.wav,0.195,0.00625,0.00625,0.00625,0.00625,0.38375,0.38375,0.0125,0.41666675,0.41666675,1,Female,Train,ambiguous
62,Ses01M_script01_1_M009.wav,0.320833,0.00625,0.320833,0.00625,0.00625,0.320833,0.00625,0.0125,0.5,0.33333325,1,Male,Train,ambiguous
79,Ses01M_script02_1_M025.wav,0.320833,0.00625,0.00625,0.00625,0.00625,0.320833,0.320833,0.0125,0.5,0.375,1,Male,Train,ambiguous
85,Ses01M_script01_3_F029.wav,0.478125,0.00625,0.478125,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.375,1,Female,Train,ambiguous
89,Ses01M_script03_2_F019.wav,0.478125,0.478125,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.25,1,Female,Train,ambiguous
93,Ses01M_script02_1_F016.wav,0.478125,0.478125,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.375,0.25,1,Female,Train,ambiguous
100,Ses01F_impro06_M002.wav,0.00625,0.00625,0.478125,0.00625,0.00625,0.478125,0.00625,0.0125,0.16666674999999997,0.41666675,1,Male,Train,ambiguous
105,Ses01F_impro04_F024.wav,0.38375,0.38375,0.00625,0.195,0.00625,0.00625,0.00625,0.0125,0.5,0.33333325,1,Female,Train,ambiguous
110,Ses01F_impro02_F016.wav,0.00625,0.00625,0.478125,0.00625,0.00625,0.478125,0.00625,0.0125,0.08333325000000003,0.25,1,Female,Train,ambiguous
118,Ses01F_script03_2_M003.wav,0.320833,0.00625,0.00625,0.320833,0.00625,0.320833,0.00625,0.0125,0.5,0.25,1,Male,Train,ambiguous
119,Ses01M_impro01_M013.wav,0.478125,0.478125,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.58333325,0.33333325,1,Male,Train,ambiguous
120,Ses01M_impro01_F013.wav,0.195,0.38375,0.00625,0.00625,0.00625,0.38375,0.00625,0.0125,0.41666675,0.5,1,Female,Train,ambiguous
128,Ses01F_impro04_F018.wav,0.38375,0.38375,0.00625,0.00625,0.00625,0.00625,0.00625,0.20125,0.8333332499999999,0.25,1,Female,Train,ambiguous
131,Ses01M_script03_2_F013.wav,0.478125,0.478125,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.125,1,Female,Train,ambiguous
153,Ses01F_script02_1_F012.wav,0.00625,0.320833,0.00625,0.320833,0.00625,0.320833,0.00625,0.0125,0.5,0.375,1,Female,Train,ambiguous
157,Ses01M_impro01_M018.wav,0.478125,0.478125,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.9166667500000001,0.08333325000000003,1,Male,Train,ambiguous
160,Ses01M_script03_2_F016.wav,0.478125,0.478125,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.375,1,Female,Train,ambiguous
185,Ses01M_script01_3_F020.wav,0.320833,0.00625,0.320833,0.00625,0.00625,0.320833,0.00625,0.0125,0.375,0.375,1,Female,Train,ambiguous
210,Ses01F_script03_2_F012.wav,0.478125,0.478125,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.25,1,Female,Train,ambiguous
213,Ses01F_impro02_F009.wav,0.00625,0.00625,0.478125,0.00625,0.00625,0.478125,0.00625,0.0125,0.25,0.16666674999999997,1,Female,Train,ambiguous
214,Ses01F_impro04_F008.wav,0.195,0.195,0.00625,0.195,0.00625,0.195,0.195,0.0125,0.66666675,0.25,1,Female,Train,ambiguous
234,Ses01F_script03_2_F019.wav,0.320833,0.320833,0.00625,0.00625,0.00625,0.320833,0.00625,0.0125,0.5,0.25,1,Female,Train,ambiguous
251,Ses01M_script03_2_M019.wav,0.320833,0.320833,0.00625,0.00625,0.00625,0.320833,0.00625,0.0125,0.25,0.375,1,Male,Train,ambiguous
272,Ses01M_script02_2_M036.wav,0.195,0.38375,0.38375,0.00625,0.00625,0.00625,0.00625,0.0125,0.5,0.125,1,Male,Train,ambiguous
275,Ses01F_impro04_F026.wav,0.38375,0.38375,0.00625,0.195,0.00625,0.00625,0.00625,0.0125,0.33333325,0.33333325,1,Female,Train,ambiguous
292,Ses01F_script01_1_F019.wav,0.320833,0.320833,0.00625,0.00625,0.00625,0.320833,0.00625,0.0125,0.41666675,0.5,1,Female,Train,ambiguous
303,Ses01F_script02_1_M019.wav,0.320833,0.00625,0.00625,0.00625,0.00625,0.320833,0.320833,0.0125,0.625,0.5,1,Male,Train,ambiguous
319,Ses01M_impro05_M011.wav,0.478125,0.478125,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.8333332499999999,0.16666674999999997,1,Male,Train,ambiguous
327,Ses01F_script01_3_M035.wav,0.478125,0.00625,0.478125,0.00625,0.00625,0.00625,0.00625,0.0125,0.66666675,0.33333325,1,Male,Train,ambiguous
338,Ses01F_impro01_F003.wav,0.38375,0.38375,0.00625,0.00625,0.00625,0.195,0.00625,0.0125,0.5,0.33333325,1,Female,Train,ambiguous
356,Ses01M_impro05_M029.wav,0.320833,0.320833,0.163542,0.00625,0.00625,0.00625,0.00625,0.169792,0.75,0.08333325000000003,1,Male,Train,ambiguous
358,Ses01F_impro05_F027.wav,0.195,0.38375,0.00625,0.38375,0.00625,0.00625,0.00625,0.0125,0.5,0.16666674999999997,1,Female,Train,ambiguous
360,Ses01F_impro02_F007.wav,0.478125,0.00625,0.478125,0.00625,0.00625,0.00625,0.00625,0.0125,0.66666675,0.25,1,Female,Train,ambiguous
368,Ses01M_script01_1_M001.wav,0.320833,0.00625,0.320833,0.00625,0.00625,0.320833,0.00625,0.0125,0.25,0.41666675,1,Male,Train,ambiguous
378,Ses01M_impro04_F024.wav,0.478125,0.00625,0.00625,0.00625,0.00625,0.478125,0.00625,0.0125,0.41666675,0.66666675,1,Female,Train,ambiguous
380,Ses01F_script01_1_F020.wav,0.478125,0.478125,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.75,0.33333325,1,Female,Train,ambiguous
403,Ses01M_impro06_F011.wav,0.00625,0.00625,0.478125,0.00625,0.00625,0.478125,0.00625,0.0125,0.33333325,0.41666675,1,Female,Train,ambiguous
