,FileName,frustrated,angry,sad,disgust,fear,neutral,surprise,happy,EmoAct,EmoVal,SpkrID,Gender,Split_Set,dominant_emotion
5766,Ses04M_script01_1_M013.wav,0.00625,0.635417,0.00625,0.00625,0.00625,0.320833,0.00625,0.0125,0.5,0.375,4,Male,Test,angry
5767,Ses04F_impro04_F002.wav,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.625,0.125,4,Female,Test,frustrated
5768,Ses04F_script02_2_F014.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.875,0.0,4,Female,Test,angry
5769,Ses04M_impro05_M021.wav,0.635417,0.320833,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.625,0.25,4,Male,Test,frustrated
5770,Ses04M_impro04_M001.wav,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.58333325,0.25,4,Male,Test,frustrated
5771,Ses04F_script03_1_M002.wav,0.00625,0.00625,0.00625,0.00625,0.635417,0.00625,0.00625,0.32708299999999996,0.5,0.375,4,Male,Test,fear
5772,Ses04M_script01_1_M021.wav,0.320833,0.635417,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.625,0.25,4,Male,Test,angry
5773,Ses04M_impro05_M011.wav,0.00625,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.375,0.5,4,Male,Test,angry
5774,Ses04F_impro07_F069.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.641666,0.625,0.375,4,Female,Test,happy
5776,Ses04F_impro07_M042.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.95625,0.625,0.625,4,Male,Test,happy
5777,Ses04F_impro03_F007.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.9562499999999999,0.75,0.75,4,Female,Test,happy
5778,Ses04M_script01_1_M022.wav,0.242188,0.714063,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.625,0.125,4,Male,Test,angry
5779,Ses04F_script02_1_M042.wav,0.320833,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.32708299999999996,0.5,0.375,4,Male,Test,happy
5780,Ses04F_impro03_F004.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.9562499999999999,0.875,1.0,4,Female,Test,happy
5781,Ses04F_impro02_M001.wav,0.00625,0.00625,0.635417,0.00625,0.00625,0.320833,0.00625,0.0125,0.375,0.25,4,Male,Test,sad
5782,Ses04F_impro06_M008.wav,0.00625,0.00625,0.635417,0.00625,0.00625,0.320833,0.00625,0.0125,0.25,0.375,4,Male,Test,sad
5783,Ses04F_impro08_F003.wav,0.635417,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.0125,0.375,0.375,4,Female,Test,frustrated
5784,Ses04M_impro08_F027.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.635417,0.00625,0.32708299999999996,0.625,0.625,4,Female,Test,neutral
5785,Ses04M_impro07_F016.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.95625,0.75,0.875,4,Female,Test,happy
5786,Ses04F_impro07_M086.wav,0.00625,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.641666,0.375,0.625,4,Male,Test,happy
5787,Ses04F_impro08_F010.wav,0.635417,0.00625,0.00625,0.00625,0.00625,0.320833,0.00625,0.0125,0.5,0.5,4,Female,Test,frustrated
5788,Ses04F_script01_2_F007.wav,0.00625,0.95,0.00625,0.00625,0.00625,0.00625,0.00625,0.0125,0.625,0.25,4,Female,Test,angry
