,FileName,angry,sad,neutral,happy,EmoAct,EmoVal,SpkrID,Gender,Split_Set,dominant_emotion
1,MSP-IMPROV-S01A-F03-R-FF01.wav,0.816667,0.15,0.016667,0.016667,0.5,0.10714275000000001,3,Female,Development,angry
6,MSP-IMPROV-S01A-M03-R-MM01.wav,0.95,0.016667,0.016667,0.016667,0.5,0.25,3,Male,Development,angry
8,MSP-IMPROV-S01H-F03-R-FF01.wav,0.016667,0.016667,0.016667,0.95,0.65,0.6,3,Female,Development,happy
13,MSP-IMPROV-S01H-M03-R-MM01.wav,0.016667,0.016667,0.203333,0.763333,0.4,0.75,3,Male,Development,happy
15,MSP-IMPROV-S01N-F03-R-FF01.wav,0.016667,0.016667,0.95,0.016667,0.20833325000000003,0.54166675,3,Female,Development,neutral
22,MSP-IMPROV-S01N-M03-R-MM01.wav,0.203333,0.016667,0.763333,0.016667,0.30000000000000004,0.4,3,Male,Development,neutral
24,MSP-IMPROV-S01S-F03-R-FF01.wav,0.016667,0.683333,0.283333,0.016667,0.21428575,0.28571424999999995,3,Female,Development,sad
25,MSP-IMPROV-S01S-F03-R-FF02.wav,0.638889,0.327778,0.016667,0.016667,0.35,0.30000000000000004,3,Female,Development,angry
31,MSP-IMPROV-S01S-M03-R-MM01.wav,0.016667,0.25,0.6,0.133333,0.3125,0.40625,3,Male,Development,neutral
33,MSP-IMPROV-S02A-F03-R-FF01.wav,0.95,0.016667,0.016667,0.016667,0.60714275,0.1785715,3,Female,Development,angry
38,MSP-IMPROV-S02A-M03-R-MM01.wav,0.016667,0.25,0.716667,0.016667,0.25,0.55,3,Male,Development,neutral
40,MSP-IMPROV-S02H-F03-R-FF01.wav,0.016667,0.016667,0.016667,0.95,0.44999999999999996,0.65,3,Female,Development,happy
45,MSP-IMPROV-S02H-M03-R-MM01.wav,0.016667,0.016667,0.203333,0.763333,0.44999999999999996,0.75,3,Male,Development,happy
47,MSP-IMPROV-S02N-F03-R-FF01.wav,0.016667,0.016667,0.95,0.016667,0.29166675,0.5,3,Female,Development,neutral
54,MSP-IMPROV-S02N-M03-R-MM01.wav,0.016667,0.203333,0.763333,0.016667,0.25,0.44999999999999996,3,Male,Development,neutral
56,MSP-IMPROV-S02S-F03-R-FF01.wav,0.172222,0.483333,0.327778,0.016667,0.28571424999999995,0.1785715,3,Female,Development,sad
57,MSP-IMPROV-S02S-F03-R-FF02.wav,0.016667,0.95,0.016667,0.016667,0.2,0.2,3,Female,Development,sad
63,MSP-IMPROV-S02S-M03-R-MM01.wav,0.016667,0.203333,0.763333,0.016667,0.2,0.35,3,Male,Development,neutral
65,MSP-IMPROV-S03A-F03-R-FF01.wav,0.55,0.016667,0.283333,0.15,0.5714285,0.3214285,3,Female,Development,angry
70,MSP-IMPROV-S03A-M03-R-MM01.wav,0.016667,0.016667,0.95,0.016667,0.25,0.5,3,Male,Development,neutral
72,MSP-IMPROV-S03H-F03-R-FF01.wav,0.016667,0.016667,0.016667,0.95,0.71875,0.875,3,Female,Development,happy
77,MSP-IMPROV-S03H-M03-R-MM01.wav,0.016667,0.016667,0.794444,0.172222,0.29166675,0.54166675,3,Male,Development,neutral
79,MSP-IMPROV-S03N-F03-R-FF01.wav,0.15,0.016667,0.816667,0.016667,0.25,0.5,3,Female,Development,neutral
86,MSP-IMPROV-S03N-M03-R-MM01.wav,0.016667,0.016667,0.95,0.016667,0.15000000000000002,0.5,3,Male,Development,neutral
88,MSP-IMPROV-S03S-F03-R-FF01.wav,0.016667,0.638889,0.327778,0.016667,0.4,0.2,3,Female,Development,sad
89,MSP-IMPROV-S03S-F03-R-FF02.wav,0.327778,0.483333,0.172222,0.016667,0.21428575,0.28571424999999995,3,Female,Development,sad
95,MSP-IMPROV-S03S-M03-R-MM01.wav,0.016667,0.763333,0.203333,0.016667,0.2,0.30000000000000004,3,Male,Development,sad
97,MSP-IMPROV-S04A-F03-R-FF01.wav,0.95,0.016667,0.016667,0.016667,0.7,0.15000000000000002,3,Female,Development,angry
102,MSP-IMPROV-S04A-M03-R-MM01.wav,0.203333,0.016667,0.763333,0.016667,0.44999999999999996,0.4,3,Male,Development,neutral
104,MSP-IMPROV-S04H-F03-R-FF01.wav,0.016667,0.016667,0.576667,0.39,0.35,0.7,3,Female,Development,neutral
111,MSP-IMPROV-S04N-F03-R-FF01.wav,0.016667,0.016667,0.763333,0.203333,0.30000000000000004,0.5,3,Female,Development,neutral
118,MSP-IMPROV-S04N-M03-R-MM01.wav,0.016667,0.39,0.576667,0.016667,0.09999999999999998,0.4,3,Male,Development,neutral
120,MSP-IMPROV-S04S-F03-R-FF01.wav,0.016667,0.95,0.016667,0.016667,0.44999999999999996,0.15000000000000002,3,Female,Development,sad
121,MSP-IMPROV-S04S-F03-R-FF02.wav,0.576667,0.203333,0.203333,0.016667,0.38888900000000004,0.13888899999999998,3,Female,Development,angry
127,MSP-IMPROV-S04S-M03-R-MM01.wav,0.016667,0.55,0.416667,0.016667,0.10714275000000001,0.35714274999999995,3,Male,Development,sad
129,MSP-IMPROV-S05A-F03-R-FF01.wav,0.95,0.016667,0.016667,0.016667,0.6,0.15000000000000002,3,Female,Development,angry
134,MSP-IMPROV-S05A-M03-R-MM01.wav,0.763333,0.016667,0.203333,0.016667,0.30000000000000004,0.25,3,Male,Development,angry
136,MSP-IMPROV-S05H-F03-R-FF01.wav,0.016667,0.016667,0.763333,0.203333,0.33333325,0.58333325,3,Female,Development,neutral
141,MSP-IMPROV-S05H-M03-R-MM01.wav,0.172222,0.016667,0.483333,0.327778,0.25,0.41666675,3,Male,Development,neutral
143,MSP-IMPROV-S05N-F03-R-FF01.wav,0.576667,0.203333,0.203333,0.016667,0.35,0.30000000000000004,3,Female,Development,angry
150,MSP-IMPROV-S05N-M03-R-MM01.wav,0.172222,0.016667,0.794444,0.016667,0.25,0.45833325,3,Male,Development,neutral
152,MSP-IMPROV-S05S-F03-R-FF01.wav,0.203333,0.576667,0.203333,0.016667,0.4,0.30000000000000004,3,Female,Development,sad
153,MSP-IMPROV-S05S-F03-R-FF02.wav,0.203333,0.576667,0.203333,0.016667,0.2,0.15000000000000002,3,Female,Development,sad
159,MSP-IMPROV-S05S-M03-R-MM01.wav,0.016667,0.327778,0.638889,0.016667,0.041666749999999975,0.375,3,Male,Development,neutral
161,MSP-IMPROV-S06A-F03-R-FF01.wav,0.95,0.016667,0.016667,0.016667,0.8500000000000001,0.04999999999999999,3,Female,Development,angry
167,MSP-IMPROV-S06A-M03-R-MM01.wav,0.716667,0.016667,0.25,0.016667,0.375,0.28125,3,Male,Development,angry
169,MSP-IMPROV-S06H-F03-R-FF01.wav,0.203333,0.016667,0.016667,0.763333,0.75,0.75,3,Female,Development,happy
175,MSP-IMPROV-S06H-M03-R-MM01.wav,0.133333,0.016667,0.366667,0.483333,0.40625,0.625,3,Male,Development,happy
177,MSP-IMPROV-S06N-F03-R-FF01.wav,0.016667,0.016667,0.95,0.016667,0.04999999999999999,0.5,3,Female,Development,neutral
182,MSP-IMPROV-S06N-M03-R-MM01.wav,0.016667,0.016667,0.95,0.016667,0.15000000000000002,0.5,3,Male,Development,neutral
185,MSP-IMPROV-S06S-F03-R-FF01.wav,0.016667,0.95,0.016667,0.016667,0.30000000000000004,0.2,3,Female,Development,sad
192,MSP-IMPROV-S06S-M03-R-MM02.wav,0.203333,0.203333,0.576667,0.016667,0.09999999999999998,0.4,3,Male,Development,neutral
194,MSP-IMPROV-S07A-F03-R-FF01.wav,0.95,0.016667,0.016667,0.016667,0.625,0.09375,3,Female,Development,angry
200,MSP-IMPROV-S07A-M03-R-MM01.wav,0.763333,0.016667,0.203333,0.016667,0.5,0.25,3,Male,Development,angry
202,MSP-IMPROV-S07H-F03-R-FF01.wav,0.016667,0.016667,0.016667,0.95,0.75,0.875,3,Female,Development,happy
208,MSP-IMPROV-S07H-M03-R-MM01.wav,0.016667,0.016667,0.203333,0.763333,0.35,0.7,3,Male,Development,happy
210,MSP-IMPROV-S07N-F03-R-FF01.wav,0.016667,0.203333,0.763333,0.016667,0.15000000000000002,0.44999999999999996,3,Female,Development,neutral
215,MSP-IMPROV-S07N-M03-R-MM01.wav,0.016667,0.016667,0.95,0.016667,0.1785715,0.5,3,Male,Development,neutral
218,MSP-IMPROV-S07S-F03-R-FF01.wav,0.016667,0.95,0.016667,0.016667,0.30000000000000004,0.25,3,Female,Development,sad
224,MSP-IMPROV-S07S-M03-R-MM01.wav,0.016667,0.366667,0.6,0.016667,0.09375,0.34375,3,Male,Development,neutral
225,MSP-IMPROV-S07S-M03-R-MM02.wav,0.016667,0.172222,0.794444,0.016667,0.08333325000000003,0.45833325,3,Male,Development,neutral
227,MSP-IMPROV-S08A-F03-R-FF01.wav,0.95,0.016667,0.016667,0.016667,0.7,0.09999999999999998,3,Female,Development,angry
233,MSP-IMPROV-S08A-M03-R-MM01.wav,0.016667,0.203333,0.763333,0.016667,0.25,0.44999999999999996,3,Male,Development,neutral
241,MSP-IMPROV-S08H-M03-R-MM01.wav,0.016667,0.016667,0.576667,0.39,0.55,0.65,3,Male,Development,neutral
243,MSP-IMPROV-S08N-F03-R-FF01.wav,0.016667,0.016667,0.95,0.016667,0.08333325000000003,0.45833325,3,Female,Development,neutral
248,MSP-IMPROV-S08N-M03-R-MM01.wav,0.016667,0.016667,0.95,0.016667,0.375,0.5,3,Male,Development,neutral
251,MSP-IMPROV-S08S-F03-R-FF01.wav,0.016667,0.763333,0.203333,0.016667,0.29166675,0.29166675,3,Female,Development,sad
257,MSP-IMPROV-S08S-M03-R-MM01.wav,0.15,0.283333,0.55,0.016667,0.25,0.39285725000000005,3,Male,Development,neutral
258,MSP-IMPROV-S08S-M03-R-MM02.wav,0.016667,0.25,0.716667,0.016667,0.15000000000000002,0.30000000000000004,3,Male,Development,neutral
260,MSP-IMPROV-S09A-F03-R-FF01.wav,0.95,0.016667,0.016667,0.016667,0.8500000000000001,0.09999999999999998,3,Female,Development,angry
266,MSP-IMPROV-S09A-M03-R-MM01.wav,0.794444,0.016667,0.016667,0.172222,0.58333325,0.041666749999999975,3,Male,Development,angry
268,MSP-IMPROV-S09H-F03-R-FF01.wav,0.016667,0.016667,0.203333,0.763333,0.25,0.7,3,Female,Development,happy
274,MSP-IMPROV-S09H-M03-R-MM01.wav,0.016667,0.016667,0.683333,0.283333,0.39285725000000005,0.5714285,3,Male,Development,neutral
